id;start_date;end_date;language
1;2021-01-16T16:55:41;2021-01-16T14:45:56;SPANISH
2;2021-01-15T21:45:52;2021-01-16T16:50:17;SPANISH
3;2021-01-16T12:41:11;2021-01-15T23:15:20;FRENCH
4;2021-01-16T03:58:42;2021-01-16T15:30:08;FRENCH
5;2021-01-16T13:29:00;2021-01-16T18:15:59;FRENCH
6;2021-01-16T07:21:21;2021-01-16T19:29:35;FRENCH
7;2021-01-16T09:06:41;2021-01-16T02:57:32;FRENCH
8;2021-01-16T08:02:54;2021-01-16T18:19:02;SPANISH
9;2021-01-16T06:44:03;2021-01-16T03:25:26;SPANISH
10;2021-01-16T14:56:07;2021-01-16T01:30:37;SPANISH
